fragmentarium_id,url,shelfmark,century,language,script,items,dimensions_mm,area_mm2,images,title,notes
F-lg7g,https://fragmentarium.ms/overview/F-lg7g,"Gent, Universiteitsbibliotheek Gent, HS.2582/180",16th century,Latin,Cursiva,37 leaves (single quire),178 x 119 mm,21182,38,Unidentified work on metaphysics,
F-v0qx,https://fragmentarium.ms/overview/F-v0qx,"Odense, Syddansk Universitetsbibliotek, RARA Musik L 46",16th century,Latin,Humanistic Cursive,4 pieces,152 x 131,19912,15,Text on churches,"Early Modern manuscript copy of an unidentified Latin text on churches. Removed from the binding of RARA Musik L 42 R 130, one of a set of four music booklets from the collection of Herlufsholm Skole,"
F-hwsh,https://fragmentarium.ms/overview/F-hwsh,"Gent, Universiteitsbibliotheek Gent, HS.2583/029",15th century,Latin,Cursiva,1 leaf (trimmed),174 x 114 mm,19836,2,Unidentified musical treatise,
F-7smu,https://fragmentarium.ms/overview/F-7smu,"Gent, Universiteitsbibliotheek Gent, HS.2583/031",15th century,Latin,Cursiva,1 leaf (trimmed),174 x 114 mm,19836,2,Unidentified musical treatise,
F-21br,https://fragmentarium.ms/overview/F-21br,"Gent, Universiteitsbibliotheek Gent, HS.2583/032",15th century,Latin,Cursiva,1 leaf (trimmed),173 x 114 mm,19722,2,Unidentified musical treatise,
F-2fz6,https://fragmentarium.ms/overview/F-2fz6,"Frauenfeld, Kantonsbibliothek Thurgau, FRG 205 [larger]",8th century 9th century,Latin,Pre-carolingian Script,1 partial bifolium,125 x 154 mm,19250,3,"Isidore, Etymologiae | Book 1","A partial bifolium from a 8th- or 9th-century manuscript with sections from Book I of Isidore of Seville's Etymologies, including chapters 33: De solecismis and 40: De fabula, and an unidentified gram"
F-jfv6,https://fragmentarium.ms/overview/F-jfv6,"Gent, Universiteitsbibliotheek Gent, HS.2583/030",15th century,Latin,Cursiva,1 leaf (trimmed),166 x 114 mm,18924,2,Unidentified musical treatise,
F-otf6,https://fragmentarium.ms/overview/F-otf6,"Mechelen, Stadsarchief Mechelen, Verzameling van literaire fragmenten, Album II, voorlopig nr. 3/7",14th century,Latin,Cursiva Antiquior,1 leaf (part),221 x 85 mm,18785,2,Unidentified Latin text,
F-z31f,https://fragmentarium.ms/overview/F-z31f,"Odense, Syddansk Universitetsbibliotek, RARA Musik K 14 122",,,Northern Textualis,1 partial leaf,147 x 127 mm,18669,6,Unidentified liturgical fragment,"Unidentified liturgical fragment on the front cover of RARA Musik K 14 122, the second volume of a set of paper music manuscripts from about 1600."
F-ktuw,https://fragmentarium.ms/overview/F-ktuw,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 215 a-ll",15th century,Latin,Cursiva Northern Textualis,38 strips,106 x 168 mm,17808,76,Latin commentary on an unidentified theological treatise,
F-grc7,https://fragmentarium.ms/overview/F-grc7,"Odense, Syddansk Universitetsbibliotek, RARA Musik K 14 123",,Latin,Northern Textualis,2 partial leaves,122 × 145 mm,17690,7,Unidentified fragments,"Unidentified, severely damaged fragments, in situ on RARA Musik K 14 123, the third volume of a set of five paper music manuscripts from about 1600."
F-ybvx,https://fragmentarium.ms/overview/F-ybvx,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 194",15th century,Latin,Northern Textualis Cursiva,1 leaf (trimmed),165 x 105 mm,17325,2,Unidentified theological text,
F-rmhf,https://fragmentarium.ms/overview/F-rmhf,"Wien, Österreichische Nationalbibliothek, Cod. 2248",13th century,Latin,Northern Textualis,2 double leaf (part); 1 leaf (part),VS + fliegendes Bl.: 108 × 160 mm; HS: 1,17280,13,Theological / biblical commentary (unidentified),
F-die2,https://fragmentarium.ms/overview/F-die2,"Scherpenheuvel-Zichem, Abdij der Norbertijnen van Averbode, Archief, Sectie IV, hs. 431, 40",15th century,Latin,Cursiva,1 bifolium (trimmed),150 x 115 mm (leaf),17250,2,Unidentified text on logic,
F-4t7o,https://fragmentarium.ms/overview/F-4t7o,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 195",15th century,Latin,Cursiva,1 leaf (trimmed),165 x 101 mm,16665,2,Unidentified theological text,
F-e0rn,https://fragmentarium.ms/overview/F-e0rn,"Leuven, KU Leuven Bibliotheken Bijzondere Collecties, Ms. 1191",16th century,Latin,Cursiva Northern Textualis,12 snippets,100 x 165 mm,16500,20,Twelve unidentified texts,Two small fragments have not been photographed.
F-t1mc,https://fragmentarium.ms/overview/F-t1mc,"Gent, Universiteitsbibliotheek Gent, HS.2583/241",13th century,Latin,Northern Textualis,1 leaf (trimmed),138 x 119 mm,16422,2,Unidentified text,"Part of the text is visible in mirror image, as an offset."
F-jnye,https://fragmentarium.ms/overview/F-jnye,"Orselina-Locarno, Biblioteca Madonna del Sasso, MdS 27 Aa 19/F2",14th century,Latin,Gothic Script (generic),1 leaf (part),210 x 77 mm,16170,2,Unidentified glosses (?),
F-xzix,https://fragmentarium.ms/overview/F-xzix,"Antwerpen, Universiteitsbibliotheek Antwerpen Bijzondere Collecties, MAG-P 64.87",14th century,Middle Dutch,Northern Textualis,1 strip (part of a leaf),273 x 59 mm,16107,2,Unidentified Middle Dutch chivalric romance,This fragment comes from an as yet unidentified Middle Dutch chivalric romance romance in rhymed couplets that does not seem to have survived in any other form. The proper names names that are mention
F-wp85,https://fragmentarium.ms/overview/F-wp85,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 69 a-b",15th century,Latin,Northern Textualis,2 leaves (trimmed),153 x 103 mm,15759,4,Unidentified theological text,
F-qtiw,https://fragmentarium.ms/overview/F-qtiw,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 199 a-d",14th century,Latin,Northern Textualis Cursiva Antiquior,4 leaves (trimmed),102 x 153 mm,15606,8,Unidentified philosophical text,
F-vl52,https://fragmentarium.ms/overview/F-vl52,"Leuven, Archief van de Abdij van Park, VIIIB20/161",14th century,,Cursiva Antiquior,1 strip,208 x 74 mm,15392,2,Unidentified text,
F-osrv,https://fragmentarium.ms/overview/F-osrv,"Gent, Universiteitsbibliotheek Gent, HS.0301",9th century,Latin,Carolingian Minuscule,1 leaf (part),216 x 69 mm,14904,4,Unidentified text,"The text on fol. A r is largely illegible because it was orginally the pastedown. Fol. A v contains an offset the text contained on fol. B-C, a fragment of Priscianus, Institutiones and this offset ma"
F-hy04,https://fragmentarium.ms/overview/F-hy04,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, B 141155",15th century 16th century,No language,,2 leaves (part),140 x 105 mm,14700,2,"Unidentified liturgical manuscript, probably a gradual or antiphonal | Decorated initials A and E",
F-h1td,https://fragmentarium.ms/overview/F-h1td,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 306",14th century,Latin,Cursiva,1 strip,253 x 58 mm,14674,2,Unidentified Latin text,This fragment was re-used as a frisket sheet.
F-w3kn,https://fragmentarium.ms/overview/F-w3kn,"Gent, Universiteitsbibliotheek Gent, HS.2583/076",15th century,Middle Dutch,Cursiva,1 strip,70 x 207 mm,14490,2,Unidentified mystical text in Middle Dutch,
F-vui8,https://fragmentarium.ms/overview/F-vui8,"Gent, Universiteitsbibliotheek Gent, HS.2583/084",15th century,Latin,Cursiva,1 bifolium (trimmed),98 x 147 mm,14406,2,Unidentified theological text,"This fragment probably comes from the same manuscript as the fragments HS.2583/073, HS.2583/074 and HS.2583/078."
F-10zj,https://fragmentarium.ms/overview/F-10zj,"Tübingen, Konviktsbibliothek Wilhelmsstift, V 1709 (B)",13th century,Latin,Praegothica,"1 trimmed single leaf, in-situ",164 x up to 87,14268,3,Breviary,"Hymn Martyris Christi colimus triumphum and another unidentified text for the Office of St Lawrence
The front pastedown contains V 1709 (A), a fragment of a 12th-century Missale notatum."
F-njqk,https://fragmentarium.ms/overview/F-njqk,"Utopia, armarium codicum bibliophilorum, Private collection, Belgium, fragm. 1",13th century,Latin,Northern Textualis,1 leaf (part),190 x 75 mm,14250,2,Unidentified medical treatise,
F-as3x,https://fragmentarium.ms/overview/F-as3x,"Chicago, University of Chicago Hanna Holborn Gray Special Collections Research Center, Codex Ms 686",13th century,Latin,Praegothica,1 partial leaf,138 x 102 mm,14076,2,Satirical poems on simony,"Unidentified satirical poems on simony in rhymed couplets. 1 partial parchment leaf (top margin visible, no bottom margin). Western Europe, first half of 13th century. Latin, praegothica, 102 mm x 138"
F-hnre,https://fragmentarium.ms/overview/F-hnre,"Odense, Syddansk Universitetsbibliotek, RARA Musik L 46",17th century,German,Printed,5 pieces,75 x 185 mm,13875,23,German printed calendar,"Pieces of a German calendar listing the dates of fairs and markets. Locations mostly in Pommerania. Similar to David Herlitz calendars around 1600, but edition unidentified. Removed from the bindings "
F-60uk,https://fragmentarium.ms/overview/F-60uk,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 134 a-b",13th century,Latin,Northern Textualis,"1 bifolium (trimmed, 2 parts)",120 x 111 mm (leaf),13320,4,Unidentified theological text,
F-x8vo,https://fragmentarium.ms/overview/F-x8vo,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 197",15th century,Latin,Northern Textualis Cursiva,1 bifolium (trimmed),105 x 125 mm (leaf),13125,2,Unidentified canon law text,
F-au0s,https://fragmentarium.ms/overview/F-au0s,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 358",14th century 13th century,Latin,Northern Textualis,1 leaf (part),138 x 94 mm,12972,2,"Unidentified commentary on Gregorius IX, Decretales | Liber III",
F-m248,https://fragmentarium.ms/overview/F-m248,"Antwerpen, Erfgoedbibliotheek Hendrik Conscience, Fragm. 360 a-b",14th century,Latin,Northern Textualis,1 bifolium (2 strips),90 x 144 mm,12960,4,Unidentified theological treatise,
F-m7i4,https://fragmentarium.ms/overview/F-m7i4,"Leuven, Archief van de Abdij van Park, VIIIB20/157",13th century,Latin,Northern Textualis,1 strip,169 x 76 mm,12844,2,Unidentified religious text,"Fol. [1]r refers to Book of Proverbs, 24:27; fol. [1]v refers to Jeremiah 4:14."
